,_id,text,orig_gender
416,train13731,actress who plays maxie jones on general hospital,f
417,train13759,who was 5 colours in her hair written about,f
418,train13816,who played mrs davis on our miss brooks,f
419,train13831,who is the actress that plays red on orange is the new black,f
420,train13869,who is the actress who plays hannah baker,f
421,train13939,who wrote something in the way she moves,f
422,train13943,who wrote long tall woman in a black dress,f
423,train13984,whos the old lady in fried green tomatoes,f
424,train14031,who was the actress that played rizzo in grease,f
425,train14059,who is representing the united states in the miss universe pageant,f
426,train14086,who played mrs oleson on little house on the prairie,f
427,train14117,who sang little miss can't be wrong,f
428,train14215,who plays the tyrell grandmother on game of thrones,f
429,train14234,who played general custer on dr quinn medicine woman,f
430,train14330,who plays the ice queen in the lion the witch and the wardrobe,f
431,train14344,who plays the sister in to the bone,f
432,train14400,who sings she dont love you she's just lonely,f
433,train14440,who won women's title of 2016 icc world t20,f
434,train14495,who is the girl that sings with eddie money in take me home tonight,f
435,train14539,who plays charlies ex wife on anger management,f
436,train14569,who plays cinderella's mother in the 2015 movie,f
437,train14629,who is also known as the lady with the lamp,f
438,train14635,who played quarks mom on deep space nine,f
439,train14655,who played bruce willis's girlfriend in pulp fiction,f
440,train14772,who is the actress who plays linda on blue bloods,f
441,train14805,transformers the revenge of the fallen heroine name,f
442,train14846,who played the young diana in wonder woman,f
443,train14876,who plays the nun in rush hour 3,f
444,train14901,who is theo's mother on days of our lives,f
445,train14904,who is the actress that plays queen mary in reign,f
446,train15010,who wrote born this way by lady gaga,f
447,train15207,who was the first woman who ran for vice president,f
448,train15219,who sang she got the goldmine i got the shaft,f
449,train15225,who played mollys sister in mike and molly,f
450,train15228,who is the girl singing in drake in my feelings,f
451,train15235,who played will gardner on the good wife,f
452,train15340,who played sandra bullocks daughters in practical magic,f
453,train15384,who was sad eyed lady of the lowlands written about,f
454,train15395,what is the moms name in everything everything,f
455,train15419,actress who plays caroline on bold and beautiful,f
456,train15539,who is the actress that plays in timeless,f
457,train15607,who played the mom on wizards of waverly place,f
458,train15615,where did the band name lady antebellum come from,f
459,train15687,what is the name of heroine in bengal tiger,f
460,train15716,how old is the actress who plays murphy brown,f
461,train15733,who was the first woman to be elected to parliament in australia,f
462,train15742,who played kevin's mom in home alone,f
463,train15780,who sang long legged woman dressed in black,f
464,train15785,who won the wimbledon women's singles title in 1994,f
465,train15788,who plays edmund in the lion the witch and the wardrobe,f
466,train15840,who was declared as the winner of the national award for the best actress in 2018,f
467,train15861,who plays canes mother on the young and the restless,f
468,train15877,who played debbie in the bishop's wife,f
469,train15886,businesswoman who is the presenter of the hotel inspector,f
470,train15897,who played betty in some mothers do have them,f
471,train15923,whos the girl in the basement in don't breathe,f
472,train15999,who is the woman that sings with meatloaf,f
473,train16001,who became india's first woman ips officer,f
474,train16003,who was the girl that played tony's daughter,f
475,train16010,who said goodnight mrs. calabash wherever you are,f
476,train16064,who played the female lead in the film pushpak,f
477,train16173,who is the female dancer in dirty dancing,f
478,train16187,who plays the call girl in west wing,f
479,train16209,who plays richard harrow sister on boardwalk empire,f
480,train16233,who played vada's mom in my girl 2,f
481,train16263,who is the girl in earned it video,f
482,train16294,who is the big woman in game of thrones,f
483,train16321,what was the name of the titanics sister ship,f
484,train16346,actress who played stephanie in saturday night fever,f
485,train16376,who played tom barnaby's wife in midsomer murders,f
486,train16439,who sang the song jean from the prime of miss jean brodie,f
487,train16502,what is the name of heroine in hindi medium,f
488,train16558,who was the first woman to be nominated for best director at the academy awards,f
489,train16606,who is the actress who plays olivia pope mother,f
490,train16719,who was the maid on the brady bunch,f
491,train16728,who is the queen mary ship named after,f
492,train16869,who was the black lady on star trek,f
493,train16872,who won the raw women's championship at extreme rules,f
494,train16886,who played the mother on what's happening,f
495,train16936,who was the first female african american doctor,f
496,train16949,who is the girl in just hold on we're going home,f
497,train17028,who played quincy in how stella got her groove back,f
498,train17067,who is lips girlfriend in shameless season 7,f
499,train17078,who was the first woman to became the prime minister of a country,f
500,train17132,who plays larrys wife on curb your enthusiasm,f
501,train17134,who plays marlon wayans wife in white chicks,f
502,train17188,who was the actress that played curly sue,f
503,train17217,who was girl on blind faith album cover,f
504,train17219,who is the first lady of the usa,f
505,train17321,who plays rick's wife in walking dead,f
506,train17325,who plays lenny's wife in grown ups,f
507,train17337,who is stephanie's mom on bold and beautiful,f
508,train17351,who plays spencer reid's mother in criminal minds,f
509,train17412,who is the girl in how you remind me,f
510,train17425,who sang the original red roses for a blue lady,f
511,train17427,who plays the mother on two and a half,f
512,train17492,who was the girl that disappeared in aruba,f
513,train17496,who does the voice of korben dallas mother,f
514,train17541,who plays nicholes mother on la to vegas,f
515,train17543,who is the girl that plays 11 on stranger things,f
516,train17558,who plays casey ryback niece in under siege 2,f
517,train17590,who is the goddess of the moon in greek mythology,f
518,train17613,who is the girl in a little piece of heaven,f
519,train17653,who was blackie's girlfriend on general hospital,f
520,train17658,who played tom cruise's wife in mission impossible 3,f
521,train17708,who plays grace in the american girl movie,f
522,train17747,who plays lucy on the tv show mom,f
523,train17762,who is known as the first and last female rules of the delhi sultanate,f
524,train17767,who played the female welder who was a dancer by night in the 1983 movie flashdance,f
525,train17771,who plays chelsea's mom on young and the restless,f
526,train17785,who plays sophie on the marvelous mrs maisel,f
527,train17839,who is the grandmother in the movie gifted,f
528,train17925,who won women's singles at wimbledon 2017,f
529,train18003,who is josh matthews on girl meets world,f
530,train18042,who is the girl in zz top legs video,f
531,train18060,who is the first woman member in rajya sabha,f
532,train18097,who sang i wish i was a princess,f
533,train18119,who is the actress who does the trivago commercials,f
534,train18128,who played mrs edwards on little house on the prairie,f
535,train18147,who is the actress of singh is bling,f
536,train18152,who is the girl in coming to america,f
537,train18166,who plays mrs. conway on house of cards,f
538,train18176,who lost to australia in their first ever women's world cup tournament in 2005,f
539,train18204,who is the elf queen in the hobbit,f
540,train18252,name the first african american woman to receive a dental degree in the united states,f
541,train18318,who is the actress that plays alison in pretty little liars,f
542,train18355,what is the name of the heroine in bharat ane nenu,f
543,train18380,who played anne neville in the white queen,f
544,train18395,who hit the first homerun in minute maid park,f
545,train18414,who wrote the song i'm not going to miss you,f
546,train18449,who said made it ma top of the world,f
547,train18470,who is the first miss universe from india,f
548,train18503,who is the mom in grounded for life,f
549,train18584,who plays nicholas in the princess diaries 2,f
550,train18611,who sings i'm the one your mother warned you about,f
551,train18620,who is the oldest child in queen sugar,f
552,train18632,who plays wendy the waitress in how i met your mother,f
553,train18634,who played rosario on will & grace and is she still alive,f
554,train18638,who plays janine's mom on house of payne,f
555,train18648,who plays the evil queen on once upon a time,f
556,train18675,in greek mythology who was the goddess of spring growth,f
557,train18690,who plays the first lady on house of cards,f
558,train18714,who plays the girl in harry potter and the goblet of fire,f
559,train18724,who is gertrude bell queen of the desert,f
560,train18733,who is the heroine of quit india movement,f
561,train18766,who sings i got a new girl now,f
562,train18774,who plays the mother in a monster calls,f
563,train18778,who plays the mom in everybody loves raymond,f
564,train18782,who was the queen of britain during ww1,f
565,train18803,who plays the little girl in field of dreams,f
566,train18836,who plays the old lady in jackass 2,f
567,train18841,actress who played aunt sally in worzel gummidge,f
568,train18963,who is the girl in the bon jovi it's my life video,f
569,train18970,who was the first woman selected in rajya sabha,f
570,train18975,who is the first miss world in india,f
571,train19009,who played the bird woman in mary poppins,f
572,train19094,who plays leonard's mother on the big bang theory,f
573,train19124,who did the music for wonder woman movie,f
574,train19133,who plays the girl in high school musical,f
575,train19151,who played fish's wife on barney miller,f
576,train19268,what was the phony name that armand and val called their maid agadore during the senator's visit,f
577,train19292,who plays david lee on the good wife,f
578,train19300,who plays robert california's wife on the office,f
579,train19307,who won the women's french open in 2018,f
580,train19321,on general hospital who is spencer cassadine mother,f
581,train19332,who plays camilla vargas in queen of the south,f
582,train19339,who played peter pan's daughter in hook,f
583,train19386,who is the actress who plays felicity in arrow,f
584,train19410,who is the actress that plays kate on this is us,f
585,train19418,who plays aunt carol in dear dumb diary,f
586,train19436,who played the red queen in alice in wonderland,f
587,train19438,who was the girl in what do you mean,f
588,train19447,who was the first woman judge to be appointed chief justice of a high court,f
589,train19480,what is the title for a woman who is not married,f
590,train19504,who is the actress who plays flo in progressive commercials,f
591,train19564,who is the girl that plays haley in modern family,f
592,train19571,who plays sally's sister in coronation street,f
593,train19579,who plays orlando in diary of a mad black woman,f
594,train19586,who plays tara's mom on true blood,f
595,train19630,who played the girl in pirates of the caribbean 5,f
596,train19687,who is the original singer of galway girl,f
597,train19700,who plays jack bauer's daughter on 24,f
598,train19731,who was the borg queen in star trek,f
599,train19735,who made five nights at freddy's sister location,f
