,_id,text,orig_gender
235,train767,who won the icc emerging player of the year in 2006,n
236,train777,who played jan in the brady bunch movie,n
237,train778,who played lord melbourne in victoria on pbs,n
238,train783,who played guitar on still of the night,n
239,train786,who plays brooke on the bold and the beautiful,n
240,train791,where did table rock lake get its name,n
241,train793,who is buried in the old north church,n
242,train794,who has won the most medals in olympic history,n
243,train796,who represents the government in front of the supreme court,n
244,train797,who found the south pass in wyoming in 1823,n
245,train799,who is the host of fifa world cup 2026,n
246,train801,who plays cheng in the karate kid 2010,n
247,train803,who is the main character in life is strange,n
248,train805,what is the name of the airport in orlando,n
249,train806,who said better to reign in hell than serve in heaven,n
250,train808,by whom the speaker of lok sabha is elected,n
251,train811,who has played the most rounds at the masters,n
252,train816,who threw the first brick in the stonewall riots,n
253,train818,who plays carrie in when we first met,n
254,train821,who does the voice of blue in rio,n
255,train827,who was allowed to vote in the scottish referendum,n
256,train828,who plays joey on if loving you is wrong,n
257,train829,who played in the original thomas crown affair,n
258,train830,who sponsored the no child left behind act,n
259,train839,what is the king's name in shrek,n
260,train841,who has been appointed as president of gujarat sahitya academy,n
261,train843,who sang hang down your head tom dooley,n
262,train845,who have measured first the circumference of earth,n
263,train851,who built the temple of amun at karnak,n
264,train853,who appoints the governor of state in india,n
265,train869,who plays peter on guardians of the galaxy,n
266,train873,who was in the parlor eating bread and honey,n
267,train877,who did the demon voice in the exorcist,n
268,train880,who do we fight in world war 1,n
269,train882,ok google what is the name of india's first arctic research station set up in 2008,n
270,train884,who did the music for road to perdition,n
271,train891,who wrote the music score for lord of the rings,n
272,train897,who organized the august 1991 coup attempt in the soviet union,n
273,train901,who is commander in chief of us military forces,n
274,train902,who do you play as in red dead redemtion 2,n
275,train909,who sang the original version of without you,n
276,train913,who won the 1401 competition for the bronze doors for the baptistery in florence,n
277,train914,who developed the method of volume by water displacement,n
278,train919,who came up with the seperation of powers,n
279,train924,who played crazy eyes in orange is the new black,n
280,train926,who does st vincent de paul society help,n
281,train931,who takes care of the georgia bulldog mascot,n
282,train941,who played gandalf in the lord of the rings movies,n
283,train947,who is the owner of the miami dolphins,n
284,train949,who was the final ruler of the aztec before the empire fell to the spanish,n
285,train950,who sings the song till i see you again,n
286,train963,who composed the pirates of the caribbean theme song,n
287,train965,who are the why don't we members,n
288,train966,who has ultimate authority at a race meeting,n
289,train968,who has won the us open golf title 2018,n
290,train972,who sings i'm so tired of being alone,n
291,train977,who sang if i ever fall in love,n
292,train978,who wrote my god is an awesome god,n
293,train980,who was the viceroy of india when shimla conference took place,n
294,train989,who won australia's next top model s9,n
295,train990,who has the power to formally commit a child into care,n
296,train991,whats pennys last name on the big bang theory,n
297,train995,what is the name of chief minister of assam,n
298,train999,who has become the new solicitor general of india,n
299,train1003,who sings the song i am a warrior,n
300,train1005,what was the earlier name of the times of india,n
301,train1006,who was chris webber drafted for on draft night,n
302,train1008,who wants to be a millionaire phone a friend rules,n
303,train1012,who is the original singer of one moment in time,n
304,train1022,what was the name of the first video game console,n
305,train1023,who does roger marry in one hundred and one dalmatians,n
306,train1025,who plays jt hellstrom on young and restless,n
307,train1028,who played davy jones in pirates of the caribbean dead man's chest,n
308,train1031,what was dogs name in smokey and the bandit,n
309,train1035,who wants to be a millionaire first uk winner,n
310,train1036,who is the only bowler to have taken a hattrick in both innings of a test matches,n
311,train1040,who played the oompa loompas in charlie and the chocolate factory,n
312,train1045,who owns the rights to texas chainsaw massacre,n
313,train1048,who has to sign a last will and testament,n
314,train1052,who made a change is going to come,n
315,train1053,who did the astros trade for brandon backe,n
316,train1065,who played gloria in it ain't half hot mum,n
317,train1072,who does the honey badger play for in the nfl,n
318,train1075,who sang would you like to swing on a star,n
319,train1077,the one who was a picture of a good neighbor in the parable of the good samaritan was,n
320,train1083,who sings would you let me see beneath your beautiful,n
321,train1091,does each person win a car on family feud,n
322,train1094,who is the singer for alice in chains,n
323,train1097,who plays cornelius in planet of the apes,n
324,train1099,who has the mind stone in infinity war,n
325,train1104,who sang lead vocals on don t look back in anger,n
326,train1109,who composed it is well with my soul,n
327,train1110,who wrote standing on the corner in winslow arizona,n
328,train1111,who came up with the big five personality theory,n
329,train1112,who plays kelly in saved by the bell,n
330,train1116,who defeated the spanish armada at the end of the 16th century,n
331,train1118,who did the mavericks play in the finals,n
332,train1121,what is the name of the capital city of canada,n
333,train1123,who plays alan in last tango in halifax,n
334,train1129,who wrote the song friday by rebecca black,n
335,train1133,who played cory on cory in the house,n
336,train1139,who was the singing voice of mighty mouse,n
337,train1140,who plays bo in the movie country strong,n
338,train1143,who were the members of the steel curtain,n
339,train1150,who played roscoe on the new dukes of hazzard,n
340,train1152,who wrote the songs for dear evan hansen,n
341,train1153,who played john connor in terminator 2 judgment day,n
342,train1155,what is the meaning of my name stephanie,n
343,train1157,what was the name of the last jurassic park movie,n
344,train1158,who is the author of touching spirit bear,n
345,train1159,who played john adams in the movie 1776,n
346,train1160,what's the name of the broncos stadium,n
347,train1161,who played the original khan in star trek,n
348,train1163,who was the us general who led forces in italy,n
349,train1164,who do you play as in pokemon yellow,n
350,train1168,who plays kim in scott pilgrim vs the world,n
351,train1174,who was the last pow released from vietnam,n
352,train1175,who sings with flo rida in i get a good feeling,n
353,train1177,who played mozart in mozart in the jungle,n
354,train1181,who wrote the music for the original star wars,n
355,train1183,who was the first person to suggest a geocentric universe,n
356,train1188,what is the name of the script that the adi granth is written in,n
357,train1190,who sings whole new world in aladdin movie,n
358,train1195,who sings the song nothing's gonna stop us now,n
359,train1200,who designed the first truly modern skyscraper using steel framework covered in masonry,n
360,train1201,who qualifies for the fifa club world cup,n
361,train1202,who plays jack malone in without a trace,n
362,train1204,what does the name alexis mean in english,n
363,train1209,where did chip and dale dancers get their name,n
364,train1216,where does the novel call me by your name take place,n
365,train1219,who got the most triple-doubles in nba history,n
366,train1220,who wrote music for phantom of the opera,n
367,train1222,who wrote the song right here waiting for you,n
368,train1225,who did the voice of the crab on moana,n
369,train1230,who originated the role of dolly in hello dolly,n
370,train1232,who played kris kringle in the original miracle on 34th street,n
371,train1233,in 1864 the republicans changed their name to,n
372,train1235,who is joey related to on full house,n
373,train1237,who was the winner of britain's got talent season 8,n
374,train1239,who plays kirby on suite life on deck,n
375,train1245,who is responsible for maneuvering the fire team,n
376,train1246,how did rolling stone magazine get it's name,n
377,train1254,who played daniel cleaver in bridget jones diary,n
378,train1256,who won the final show down in dance plus 3,n
379,train1258,how did the fox body mustang get its name,n
380,train1264,who won tag team championship at wrestlemania 34,n
381,train1267,who is the cast of we are the millers,n
382,train1268,who laid the foundation of the chola empire,n
383,train1269,who sings we are only human after all,n
384,train1275,who was the person that wrote the bible,n
385,train1279,who played darth vader in the return of the jedi,n
386,train1281,who played michael myers in rob zombie's film,n
387,train1284,who did ed sheeran wrote the song thinking out loud for,n
388,train1288,who played joey on gimme a break,n
389,train1293,who made call of duty world war 2,n
390,train1300,who was fighting in the battle of yorktown,n
391,train1313,who is attorney general of india in present,n
392,train1319,who sang dont forget me when im gone,n
393,train1325,who was the mexican president who distributed land to the peasants in the 1930s,n
394,train1330,who won the match race between seabiscuit and war admiral,n
395,train1334,what is the english name of masoor dal,n
396,train1336,who win the dada saheb falke award in 2018,n
397,train1341,who was the individual who is credited with establishing the size of earth,n
398,train1342,who were the original members of dc talk,n
399,train1348,who wrote the happy birthday to you tune,n
400,train1350,when was the name changed from madras to chennai,n
401,train1351,who is the artist of the painted the old guitarist,n
402,train1352,who dies in batman v superman dawn of justice,n
403,train1355,who stars in the movie the best of me,n
404,train1356,who needs a visa to go to mexico,n
405,train1357,who plays hallie and annie in the parent trap,n
406,train1358,who created the rule of two in star wars,n
407,train1363,who is the countess in american horror story,n
408,train1368,who plays healy in orange is the new black,n
409,train1369,why would you put esquire after your name,n
410,train1379,who sang these boots were made for walking first,n
411,train1381,who gets killed in the shower in psycho,n
412,train1382,who is the author of i am david,n
413,train1385,what is the name of the pig in the book of life,n
414,train1386,who does the demon voice in death note,n
415,train1389,who is the defense against the dark arts teacher,n
416,train1391,where did bread and butter pickles get their name,n
417,train1394,who did montreal canadiens get for lars eller,n
418,train1397,who is natalie on orange is the new black,n
419,train1398,who plays the role of thanos in avengers,n
420,train1402,who wrote you've got to hide your love away,n
421,train1409,where does the name buffalo soldiers come from,n
422,train1411,who sings i could fall in love with you,n
423,train1412,who play dorothy in the wizard of oz,n
424,train1414,when did the british royal house change its name from saxe-coburg and gotha to windsor,n
425,train1416,who has been called as diplomate in ancient india,n
426,train1417,who played the cowardly lion in the wiz,n
427,train1420,who sings the song stroke me stroke me,n
428,train1422,who invented the supercomputer and the year invented,n
429,train1426,who sang the song jump for my love,n
430,train1431,who has played the master in doctor who,n
431,train1434,who played connie rubirosa on law & order,n
432,train1440,who produced cloudy with a chance of meatballs,n
433,train1442,us president who has been listed on the time 100 a record 11 times,n
434,train1443,what is the name of a water tornado,n
435,train1444,who leads the elves to helm's deep,n
436,train1445,who played the cruise director on the love boat,n
437,train1447,who plays the mermaid in pirates of the caribbean on stranger tides,n
438,train1450,who were the members in the traveling wilburys,n
439,train1454,who wrote walk through this world with me,n
440,train1457,what is rin's last name in naruto,n
441,train1458,who sings i am the eye in the sky,n
442,train1459,who played an important role in the making of lucknow pact,n
443,train1460,who started a colony based on quaker beliefs,n
444,train1461,who plays the joker in the movie suicide squad,n
445,train1462,who does the voice of aviva on wild kratts,n
446,train1463,who sang the songs in the movie eddie and the cruisers,n
447,train1467,when and under whose leadership was the muslim league formed,n
448,train1469,who does elle woods fall in love with,n
449,train1472,who was the viceroy of india when delhi became capital,n
450,train1480,who said pain is what the patient says it is,n
451,train1482,who plays in tremors a cold day in hell,n
452,train1484,what do u call a person from the uk,n
453,train1489,who did alabama lose to this season in football,n
454,train1495,who is the founder of ramoji film city,n
455,train1497,the first sepoy who refused to use the greased cartridge,n
456,train1498,who sings after cyndi lauper in we are the world,n
457,train1500,where did the washington wizards get their name,n
458,train1509,who is the actor who does the allstate commercials,n
459,train1510,who is the traitor in london has fallen,n
460,train1511,who killed the riddle family in harry potter,n
461,train1513,when did the ussr change its name to russia,n
462,train1515,who does teddy end up with in 90210,n
463,train1518,who did real madrid beat in 2016 champions league final,n
464,train1522,who played pontius pilate in ben hur 1959,n
465,train1523,who owns the welcome to las vegas sign,n
466,train1524,who wins great british bake off season 2,n
467,train1526,who wrote the theme song to the titanic,n
468,train1529,who wrote the theme song for casino royale,n
469,train1533,who is the attorney general for new jersey,n
470,train1535,who won season 2 of rupaul drag race,n
471,train1536,who said four score and seven years ago,n
472,train1541,who plays darius on law and order svu,n
473,train1546,who are the hotwives of las vegas based on,n
474,train1549,who discovered that lightning is a form of electricity,n
475,train1552,who is the first president of bharatiya janata party,n
476,train1561,who plays star on the tv series star,n
477,train1562,who is the original singer of one day,n
478,train1563,who sang begin the beguine in the movie night and day,n
479,train1564,when does rose tyler come back to doctor who,n
480,train1565,who wrote sitting on top of the world,n
481,train1566,who said swaraj is my birthright and i will have it,n
482,train1567,who played marty in christmas with the kranks,n
483,train1568,who sang the original blinded by the light,n
484,train1573,who is the character edward scissorhands based on,n
485,train1581,who sang poison ivy in the 80's,n
486,train1586,who wrote the song pain in my heart,n
487,train1589,who wrote work from home by fifth harmony,n
488,train1590,who plays the prison warden in paddington 2,n
489,train1594,who plays jackie kennedy in the movie jackie,n
490,train1598,who sang i wanna be the only one,n
491,train1599,who does the voice in the dear kitten commercial,n
492,train1610,who plays marlene in the last of us,n
493,train1613,who sings life is what you make it,n
494,train1615,who played al hanks on the cosby show,n
495,train1616,who is the oldest human that ever lived,n
496,train1617,who played the saxophone on long as i can see the light,n
497,train1618,bring it on in it to win it who wins,n
498,train1619,who used the first standardized system of measurement,n
499,train1621,who owns the aquarius casino in laughlin nv,n
500,train1627,who plays lydia in bbc pride and prejudice,n
501,train1629,who is considered the great liberator of south america,n
502,train1630,who did the dutch government allow to settle in their colony,n
503,train1640,who said some have greatness thrust upon them,n
504,train1652,who is the movie adrift based off of,n
505,train1653,who was carried off the field at notre dame,n
506,train1659,who was president when the pueblo was captured,n
507,train1660,who is considered the greatest president of the united states,n
508,train1667,who founded the national system of orchestras of venezuela,n
509,train1668,who plays the young cora in once upon a time,n
510,train1669,who does michael scott end up with on the office,n
511,train1671,who wrote the book of act of the apostle,n
512,train1672,who played the scarecrow in the wizard of oz 1939,n
513,train1679,who discovered the electron using a cathod ray,n
514,train1680,who played the landlord in coming to america,n
515,train1681,who played obi wan in a new hope,n
516,train1689,who played jesse in my babysitter's a vampire,n
517,train1695,who does the voiceover for love island 2016,n
518,train1696,who has played for the most teams in mlb history,n
519,train1708,where did the name kellogg's come from,n
520,train1710,who wrote the song fairytale of new york,n
521,train1719,who sang blue moon in american werewolf in london,n
522,train1720,where did the name nine inch nails come from,n
523,train1725,who had the most gold medals in 2016 olympics,n
524,train1729,who is the american who plays for collingwood,n
525,train1731,name 6 typical things that can be found in an english breakfast,n
526,train1732,who plays daisy on marvel's agents of shield,n
527,train1734,who sang the song moving on up on the jeffersons,n
528,train1738,who did england play in the first round of the world cup,n
529,train1740,who does ryan end up with in the office,n
530,train1741,who sang windmills of your mind in the original thomas crown affair,n
531,train1742,who did the original to tell the truth,n
532,train1744,who did ice cube sign with after nwa,n
533,train1746,who is gluttony in the seven deadly sins anime,n
534,train1753,who sings in ghost town with kanye west,n
535,train1754,architect who brought italianate renaissance architecture to england crossword clue,n
536,train1770,who took over the iranian embassy in london in 1980,n
537,train1772,who plays alex on orange is the new black,n
538,train1773,who has the most division championships in nfl,n
539,train1781,who wrote the opinion in griswold v connecticut,n
540,train1784,who plays red on once upon a time,n
541,train1792,who plays chloe on dog with a blog,n
542,train1796,who made the clock in grand central station,n
543,train1798,who sets the salaries for senate and house members,n
544,train1800,who did the voice of beast in beauty and the beast 2017,n
545,train1803,who used to be the voice of meg griffin,n
546,train1804,who played penny robinson on lost in space,n
547,train1807,who sets the requirements within the intelligence cycle,n
548,train1809,who played schindler in the movie schindler's list,n
549,train1810,who sang you're the reason god made oklahoma,n
550,train1812,who composed it don't mean a thing,n
551,train1815,who played roz on the tv show frasier,n
552,train1818,who is the speaker of the house representative now,n
553,train1821,who is the actor that plays ragnar on vikings,n
554,train1823,who does the voices of teenage mutant ninja turtles,n
555,train1833,who was the politician of pakistan who served as both governor general and prime minister,n
556,train1835,who did teddy altman marry on grey's anatomy,n
557,train1842,who sang don't you want someone to love,n
558,train1844,who is the minister of education for nigeria,n
559,train1847,who sings the song i got 5 on it,n
560,train1862,who played honey on wind at my back,n
561,train1864,who played lead guitar on the beatles song while my guitar gently weeps,n
562,train1869,who plays rita deveraux on ncis new orleans,n
563,train1871,who appoints the governor of each state of india,n
564,train1876,who did george harrison wrote the song something for,n
565,train1878,who sang with you i'm born again,n
566,train1879,who invented the typewriter in which year and in which country,n
567,train1880,who plays greg on diary of a wimpy kid,n
568,train1886,who plays rosa on orange is the new black,n
569,train1888,who has not been to a super bowl,n
570,train1890,who does the jack represent in a deck of cards,n
571,train1892,who plays rodney in only fools and horses,n
572,train1896,what is the name of the gang in on my block,n
573,train1898,who played as lavagirl in sharkboy and lavagirl,n
574,train1899,who is following them in the fundamentals of caring,n
575,train1900,who played big rhonda on that 70's show,n
576,train1908,who played carla on one life to live,n
577,train1909,who plays leonard on the big bang theory,n
578,train1910,what does the name of god elohim mean,n
579,train1913,who said and that's the way it is,n
580,train1915,who is roshi in and the mountains echoed,n
581,train1919,who wrote the song the beat goes on,n
582,train1922,who dies in harry potter order of the phoenix,n
583,train1923,who came to the middle colonies and what did they bring,n
584,train1924,who plays dylan on we bought a zoo,n
585,train1926,who played john in hush hush sweet charlotte,n
586,train1935,who was given the task of illuminating the original document of constitution of india,n
587,train1936,who starred in the movie east of eden,n
588,train1940,who played harry on harry and the hendersons movie,n
589,train1942,who created mosaic the first graphical web browser,n
590,train1944,who was national inventor's day named after,n
591,train1951,where did the name ellis island come from,n
592,train1953,who plays patty in malcolm in the middle,n
593,train1965,who is left on top chef season 15,n
594,train1968,who secured important wins for the british at new york and brandywine,n
595,train1969,who played annie johnson in imitation of life,n
596,train1971,who plays john reese on person of interest,n
597,train1974,who is the writer of things fall apart,n
598,train1975,who plays gamora from guardians of the galaxy,n
599,train1978,who wrote the songs for la la land,n
600,train1979,who had the right to vote in the colonial america,n
601,train1984,name the books in which the rules made for the buddhist sangha were written down,n
602,train1985,who gets married in the last episode of the office,n
603,train1988,who sings the song i can dream about you,n
604,train1992,who plays the flash in the new justice league movie,n
605,train1996,what is the panthers name in disney's the jungle book,n
606,train2005,who played teddy in you rang my lord,n
607,train2006,who defeated the spartans in a war in 371 bc,n
608,train2008,who is bts and where did they come from,n
609,train2010,who won 3 world series in a row,n
610,train2016,who played charlene darling in the andy griffith show,n
611,train2023,who does rosalee end up with in win a date with tad hamilton,n
612,train2026,who are the characters of the story life of pi,n
613,train2029,who was in power in russia during ww2,n
614,train2030,who has the power to nominate ambassadors judges and cabinet members,n
615,train2033,who were the barbarians and where did they come from,n
616,train2044,who wrote the introduction to the voyage out,n
617,train2046,summary of five person you meet in heaven,n
618,train2047,who fights in the battle of the bastards,n
619,train2048,who is the actor that plays cullen bohannon on hell on wheels,n
620,train2050,what is the meaning of the name horeb,n
621,train2059,who stated the law of conservation of mass,n
622,train2060,where does the last name gill come from,n
623,train2067,who played the hulk in the incredible hulk,n
624,train2074,who is the publisher of written in bone,n
625,train2077,when was email invented and who is considered the inventor,n
626,train2080,who sings i have had the time of my life,n
627,train2095,who plays the mad hatter in through the looking glass,n
628,train2097,who plays cameron on ferris bueller's day off,n
629,train2100,who came up with the facial feedback hypothesis,n
630,train2101,who is the general manager of the los angeles lakers,n
631,train2102,where did the name mungo jerry come from,n
632,train2106,who won the 2nd series of love island,n
633,train2109,who is given credit for inventing the printing press,n
